date,vt1,vt1.5,vt2,vt2.5,vt3,ma1,ma2,ma3,ny1,ny2,ny3,md1,md2,md3,pa1,pa2,pa3,de1,de2,de3,vt1.cum,vt1.5.cum,vt2.cum,vt2.5.cum,vt3.cum,ma1.cum,ma2.cum,ma3.cum,ny1.cum,ny2.cum,ny3.cum,md1.cum,md2.cum,md3.cum,pa1.cum,pa2.cum,pa3.cum,de1.cum,de2.cum,de3.cum
9/20/21,20.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/21/21,28.15,0,0,0,0,23.60,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,48.55,0,0,0,0,23.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/22/21,31.4,0,0,0,0,30.05,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,79.95,0,0,0,0,53.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/23/21,37.4,0,0,0,0,35.85,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,117.35,0,0,0,0,89.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/24/21,27.85,0,0,0,0,24.85,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,145.2,0,0,0,0,114.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/25/21,22.45,0,0,0,0,23.70,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,167.65,0,0,0,0,138.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/26/21,20.65,0,0,0,0,20.55,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,188.3,0,0,0,0,158.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/27/21,16.2,0,0,0,0,20.15,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,204.5,0,0,0,0,178.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/28/21,13.6,0,0,0,0,20.35,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,218.1,0,0,0,0,199.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/29/21,10.4,10.4,0,0,0,14.95,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,228.5,10.4,0,0,0,214.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/30/21,6.115838242,6.115838242,0,0,0,13.75,0.00,0,14,0,0,0,0,0,0,0,0,0,0,0,234.6158382,16.51583824,0,0,0,227.8,0,0,14,0,0,0,0,0,0,0,0,0,0,0
10/1/21,15.3,15.3,0,0,0,14.05,0.00,0,7.740033879,0,0,0,0,0,0,0,0,0,0,0,249.9158382,31.81583824,0,0,0,241.85,0,0,21.74003388,0,0,0,0,0,0,0,0,0,0,0
10/2/21,13.8,13.8,0,0,0,20.40,0.00,0,10.09348481,0,0,0,0,0,0,0,0,0,0,0,263.7158382,45.61583824,0,0,0,262.25,0,0,31.83351869,0,0,0,0,0,0,0,0,0,0,0
10/3/21,14.75,14.75,0,0,0,24.25,0.00,0,19.5,0,0,0,0,0,0,0,0,0,0,0,278.4658382,60.36583824,0,0,0,286.5,0,0,51.33351869,0,0,0,0,0,0,0,0,0,0,0
10/4/21,14.05,14.05,0,0,0,17.85,0.00,0,20.5,0,0,34.5,0,0,0,0,0,0,0,0,292.5158382,74.41583824,0,0,0,304.35,0,0,71.83351869,0,0,34.5,0,0,0,0,0,0,0,0
10/5/21,19.25,19.25,0,0,0,15.40,0.00,0,25,0,0,34,0,0,0,0,0,0,0,0,311.7658382,93.66583824,0,0,0,319.75,0,0,96.83351869,0,0,68.5,0,0,0,0,0,0,0,0
10/6/21,18.05,18.05,0,0,0,24.40,24.40,0,22,0,0,32.5,0,0,0,0,0,0,0,0,329.8158382,111.7158382,0,0,0,344.15,24.4,0,118.8335187,0,0,101,0,0,0,0,0,0,0,0
10/7/21,19.1,19.1,19.1,0,0,23.85,23.85,0,24,0,0,26,0,0,23.75,0,0,0,0,0,348.9158382,130.8158382,19.1,0,0,368,48.25,0,142.8335187,0,0,127,0,0,23.75,0,0,0,0,0
10/8/21,20.85,20.85,20.85,0,0,24.70,24.70,0,25.5,0,0,28.5,0,0,23.45,0,0,0,0,0,369.7658382,151.6658382,39.95,0,0,392.7,72.95,0,168.3335187,0,0,155.5,0,0,47.2,0,0,0,0,0
10/9/21,20.5,20.5,20.5,0,0,20.00,20.00,0,25,0,0,30,0,0,22.45,0,0,0,0,0,390.2658382,172.1658382,60.45,0,0,412.7,92.95,0,193.3335187,0,0,185.5,0,0,69.65,0,0,0,0,0
